MSE,Epoch
55.505806,0
54.728683,1
55.416218,2
54.711704,3
55.347061,4
54.830425,5
54.865459,6
54.829006,7
54.883759,8
54.781342,9
55.10537,10
55.094231,11
54.888733,12
55.020145,13
33.582748,14
35.484093,15
29.827118,16
24.578468,17
22.998934,18
23.317356,19
23.392315,20
23.069632,21
23.211065,22
23.266533,23
23.133696,24
30.475395,25
33.733482,26
26.485556,27
24.631264,28
24.969788,29
25.773703,30
24.135151,31
25.339584,32
24.987019,33
25.520008,34
32.322472,35
34.137833,36
36.749466,37
32.072426,38
30.395617,39
28.675217,40
31.804848,41
28.999968,42
26.617868,43
26.832113,44
26.270985,45
26.533564,46
27.270132,47
27.270132,48
27.112499,49
27.639231,50
26.03919,51
26.104977,52
26.027946,53
26.292561,54
23.724485,55
25.502934,56
27.84693,57
23.262589,58
23.328033,59
23.377733,60
23.26272,61
23.612158,62
23.277164,63
23.388832,64
23.16559,65
23.395464,66
23.671255,67
23.599781,68
25.372049,69
24.876257,70
25.172014,71
25.21763,72
24.93339,73
25.131647,74
24.9681,75
25.023836,76
25.186342,77
24.963728,78
24.868555,79
25.173634,80
25.013954,81
25.215828,82
24.975288,83
25.039135,84
25.268456,85
24.864653,86
25.190929,87
25.122759,88
25.107576,89
25.075891,90
25.395428,91
24.999372,92
25.157646,93
25.220303,94
25.533072,95
25.240847,96
25.032137,97
25.387663,98
24.789757,99
25.15328,100
25.217661,101
28.411034,102
26.372225,103
26.207317,104
24.170118,105
24.937197,106
25.043436,107
24.728537,108
24.902748,109
25.084192,110
24.844297,111
29.84729,112
29.972214,113
22.056553,114
22.465401,115
22.234795,116
26.244801,117
19.830322,118
20.826719,119
19.194357,120
18.485889,121
15.904538,122
17.622553,123
17.536564,124
18.923716,125
14.299048,126
14.183036,127
15.984367,128
23.600929,129
25.232872,130
25.040798,131
22.437916,132
11.166902,133
14.505573,134
20.159431,135
19.419897,136
14.817836,137
12.165884,138
12.190348,139
12.014478,140
11.892279,141
12.20774,142
11.834393,143
12.03165,144
12.074512,145
11.936047,146
12.123014,147
12.208519,148
12.126457,149
12.186926,150
12.088634,151
12.029723,152
12.140182,153
12.048015,154
12.19272,155
12.026378,156
11.889145,157
12.075664,158
12.084754,159
11.942035,160
12.083274,161
12.029703,162
12.105213,163
12.0704,164
11.980833,165
12.127059,166
11.987397,167
11.963393,168
12.041323,169
12.019069,170
11.957845,171
15.097338,172
13.130979,173
13.917685,174
21.763105,175
15.398764,176
14.324554,177
11.717024,178
11.141697,179
20.771135,180
18.486517,181
47.940357,182
27.04549,183
12.383625,184
9.348645,185
10.926338,186
6.991451,187
8.669812,188
8.147429,189
6.09914,190
6.076241,191
6.085217,192
6.117112,193
6.067753,194
